不況,ふきょう
腐敗,ふはい
触れ合い,ふれあい
フライト,ふらいと
振り回す,ふりまわす
触れる,ふれる
フットボール,ふっとぼーる
仏,ふつ
風呂おけ,ふろおけ
膨れ上がる,ふくれあがる
不眠症,ふみんしょう
婦人科,ふじんか
風習,ふうしゅう
フォーマル,ふぉーまる
膨れる,ふくれる
奮闘,ふんとう
夫妻,ふさい
古着,ふるぎ
フライング,ふらいんぐ
塞ぐ,ふさぐ
不動,ふどう
服する,ふくする
不規則,ふきそく
不在,ふざい
振り返る,ふりかえる
増やす,ふやす
不祥事,ふしょうじ
不法,ふほう
フロンガス,ふろんがす
冬山,ふゆやま
副詞,ふくし
ファンタジー,ふぁんたじー
不可解,ふかかい
紛失,ふんしつ
フェア,ふぇあ
フレッシュ,ふれっしゅ
不毛,ふもう
不透明,ふとうめい
不平等,ふびょうどう
風水,ふうすい
ふざける,ふざける
複製,ふくせい
複雑,ふくざつ
フルネーム,ふるねーむ
膨よか,ふくよか
吹き出す,ふきだす
フラワー,ふらわー
不安定,ふあんてい
フォロー,ふぉろー
フローリング,ふろーりんぐ
フリー,ふりー
服従,ふくじゅう
噴出,ふんしゅつ
膨らみ,ふくらみ
フレーク,ふれーく
符号,ふごう
風呂屋,ふろや
振り掛け,ふりかけ
フォーマット,ふぉーまっと
沸騰,ふっとう
古く,ふるく
不可能,ふかのう
ファイブ,ふぁいぶ
フェスティバル,ふぇすてぃばる
富士,ふじ
防ぐ,ふせぐ
踏む,ふむ
ファッションショー,ふぁっしょんしょー
憤慨,ふんがい
複数,ふくすう
フォト,ふぉと
ファイナル,ふぁいなる
不慣れ,ふなれ
フォーク,ふぉーく
風呂敷,ふろしき
腹痛,ふくつう
筆,ふで
振り込み,ふりこみ
ファーム,ふぁーむ
縁取り,ふちどり
副業,ふくぎょう
懐,ふところ
複合,ふくごう
不備,ふび
不注意,ふちゅうい
深まる,ふかまる
太い,ふとい
太字,ふとじ
振り切る,ふりきる
踏み込む,ふみこむ
風俗,ふうぞく
踏み切る,ふみきる
奮起,ふんき
ファックス,ふぁっくす
不景気,ふけいき
二つ目,ふたつめ
フェニックス,ふぇにっくす
福耳,ふくみみ
風味,ふうみ
不意,ふい
ふけ,ふけ
縁,ふち
付属,ふぞく
ふくらはぎ,ふくらはぎ
ファウル,ふぁうる
ふさわしい,ふさわしい
フロントガラス,ふろんとがらす
不定,ふてい
不起訴,ふきそ
不潔,ふけつ
筆箱,ふでばこ
不許可,ふきょか
不向き,ふむき
不特定,ふとくてい
二股,ふたまた
父兄,ふけい
風潮,ふうちょう
ファイト,ふぁいと
冬服,ふゆふく
普及,ふきゅう
不当,ふとう
復帰,ふっき
深み,ふかみ
不思議,ふしぎ
不定期,ふていき
服飾,ふくしょく
ふらふら,ふらふら
風物,ふうぶつ
フランス語,ふらんすご
二人,ふたり
フルハウス,ふるはうす
フェルト,ふぇると
節,ふし
フィギュア,ふぃぎゅあ
不得手,ふえて
冬場,ふゆば
ファスナー,ふぁすなー
ファイバー,ふぁいばー
フィーバー,ふぃーばー
不要,ふよう
復旧,ふっきゅう
フラッグ,ふらっぐ
踏切,ふみきり
普遍的,ふへんてき
不利,ふり
富国強兵,ふこくきょうへい
深入り,ふかいり
ふやける,ふやける
不能,ふのう
フランチャイズ,ふらんちゃいず
降る,ふる
船,ふね
噴水,ふんすい
複写,ふくしゃ
副作用,ふくさよう
二日酔い,ふつかよい
不適,ふてき
不評,ふひょう
古ぼける,ふるぼける
ふさふさ,ふさふさ
吹き飛ばす,ふきとばす
フック,ふっく
吹き返す,ふきかえす
封書,ふうしょ
ふんどし,ふんどし
不幸せ,ふしあわせ
二日,ふつか
噴火,ふんか
封ずる,ふうずる
振り仮名,ふりがな
踏み倒す,ふみたおす
不均衡,ふきんこう
吹き込む,ふきこむ
フレンチドレッシング,ふれんちどれっしんぐ
噴射,ふんしゃ
フィールド,ふぃーるど
不可,ふか
太め,ふとめ
不法行為,ふほうこうい
ふうふう,ふうふう
膨らます,ふくらます
塞がる,ふさがる
二,ふた
服用,ふくよう
古い,ふるい
フット,ふっと
ふすま,ふすま
振るう,ふるう
振り払う,ふりはらう
フロント,ふろんと
服装,ふくそう
踏み出す,ふみだす
浮上,ふじょう
吹き抜け,ふきぬけ
振り替え,ふりかえ
不吉,ふきつ
増える,ふえる
踏み台,ふみだい
不妊症,ふにんしょう
封筒,ふうとう
ファイル,ふぁいる
袋,ふくろ
不服,ふふく
風情,ふぜい
不幸,ふこう
風景,ふうけい
膨らむ,ふくらむ
フェードアウト,ふぇーどあうと
雰囲気,ふんいき
フランス料理,ふらんすりょうり
不調,ふちょう
深める,ふかめる
不必要,ふひつよう
古びる,ふるびる
フリル,ふりる
風雨,ふうう
風流,ふうりゅう
奮発,ふんぱつ
踏ん張る,ふんばる
冬物,ふゆもの
復習,ふくしゅう
札,ふだ
服,ふく
復興,ふっこう
不利益,ふりえき
フレーズ,ふれーず
フィルター,ふぃるたー
フィルム,ふぃるむ
父母,ふぼ
房,ふさ
ファミリー,ふぁみりー
封鎖,ふうさ
笛,ふえ
封,ふう
風力,ふうりょく
夫婦,ふうふ
フレンチ,ふれんち
船酔い,ふなよい
ファイター,ふぁいたー
含める,ふくめる
普段着,ふだんぎ
紛争,ふんそう
振り込む,ふりこむ
浮浪者,ふろうしゃ
不合格,ふごうかく
粉砕,ふんさい
不良,ふりょう
普通,ふつう
振り付け,ふりつけ
降り注ぐ,ふりそそぐ
風貌,ふうぼう
風速,ふうそく
含む,ふくむ
不公平,ふこうへい
風土,ふうど
副産物,ふくさんぶつ
福袋,ふくぶくろ
風物詩,ふうぶつし
吹っ切れる,ふっきれる
伏せる,ふせる
振り向く,ふりむく
吹き上げる,ふきあげる
触れ合う,ふれあう
不平,ふへい
フォーマルドレス,ふぉーまるどれす
不衛生,ふえいせい
不明,ふめい
船旅,ふなたび
ふかふか,ふかふか
付録,ふろく
ファインダー,ふぁいんだー
フルート,ふるーと
富裕,ふゆう
深い,ふかい
フィジカル,ふぃじかる
不正,ふせい
不親切,ふしんせつ
節目,ふしめ
古里,ふるさと
冬,ふゆ
ふんわり,ふんわり
不可欠,ふかけつ
二つ,ふたつ
ふくれっ面,ふくれっつら
付着,ふちゃく
風呂,ふろ
風化,ふうか
不確か,ふたしか
フィット,ふぃっと
フォワード,ふぉわーど
吹き替え,ふきかえ
震える,ふるえる
不自由,ふじゆう
吹雪,ふぶき
ふっくら,ふっくら
フィニッシュ,ふぃにっしゅ
ふき,ふき
フロア,ふろあ
不都合,ふつごう
拭き取る,ふきとる
ふもと,ふもと
踏まえる,ふまえる
復活,ふっかつ
ファンタスティック,ふぁんたすてぃっく
ファッションモデル,ふぁっしょんもでる
不足,ふそく
ふわふわ,ふわふわ
フェリー,ふぇりー
フィットネス,ふぃっとねす
踏み入れる,ふみいれる
老ける,ふける
風圧,ふうあつ
ファイトマネー,ふぁいとまねー
不発,ふはつ
不摂生,ふせっせい
双子,ふたご
フロッピーディスク,ふろっぴーでぃすく
振り出し,ふりだし
粉末,ふんまつ
負傷,ふしょう
フレンチトースト,ふれんちとーすと
太る,ふとる
フリーター,ふりーたー
吹き飛ぶ,ふきとぶ
冬休み,ふゆやすみ
複式,ふくしき
フィッシュ,ふぃっしゅ
風呂場,ふろば
フォーカス,ふぉーかす
不適当,ふてきとう
フルスピード,ふるすぴーど
フルーツ,ふるーつ
不愉快,ふゆかい
フェンス,ふぇんす
ファクシミリ,ふぁくしみり
不まじめ,ふまじめ
古めかしい,ふるめかしい
振り分ける,ふりわける
フロッピー,ふろっぴー
振る舞う,ふるまう
