樹木,じゅもく
人望,じんぼう
自由主義,じゆうしゅぎ
純正,じゅんせい
事実,じじつ
準決勝,じゅんけっしょう
重役,じゅうやく
十六,じゅうろく
砂利,じゃり
ジャスト,じゃすと
ジェンダー,じぇんだー
自覚,じかく
自粛,じしゅく
成仏,じょうぶつ
自家製,じかせい
地雷,じらい
ジュエリー,じゅえりー
ＪＩＳ,じす
実像,じつぞう
受信機,じゅしんき
順に,じゅんに
ジャーナリスト,じゃーなりすと
授業料,じゅぎょうりょう
自動,じどう
徐行,じょこう
蒸発,じょうはつ
時間外,じかんがい
自習,じしゅう
事業家,じぎょうか
重厚,じゅうこう
時速,じそく
受給,じゅきゅう
縦横,じゅうおう
上司,じょうし
上質,じょうしつ
浄化槽,じょうかそう
除去,じょきょ
住民税,じゅうみんぜい
ジャージー,じゃーじー
人力,じんりき
受精,じゅせい
ジャガ芋,じゃがいも
染みる,じみる
実行,じっこう
自称,じしょう
人類学,じんるいがく
儒教,じゅきょう
常備,じょうび
受領,じゅりょう
十字架,じゅうじか
ジャンボ,じゃんぼ
辞する,じする
時価,じか
術,じゅつ
十代,じゅうだい
住宅,じゅうたく
実物,じつぶつ
自動制御,じどうせいぎょ
純白,じゅんぱく
事態,じたい
除夜,じょや
時代錯誤,じだいさくご
状態,じょうたい
除名,じょめい
実況,じっきょう
女学生,じょがくせい
上映,じょうえい
常務,じょうむ
ジョギング,じょぎんぐ
時代劇,じだいげき
邪魔,じゃま
寿命,じゅみょう
自家用,じかよう
事務的,じむてき
自由競争,じゆうきょうそう
辞令,じれい
自衛隊,じえいたい
実習,じっしゅう
自負,じふ
実母,じつぼ
事情,じじょう
条例,じょうれい
人道的,じんどうてき
樹齢,じゅれい
情緒,じょうちょ
自由行動,じゆうこうどう
自覚症状,じかくしょうじょう
樹脂,じゅし
十一月,じゅういちがつ
自由化,じゆうか
順位,じゅんい
地獄,じごく
情報化社会,じょうほうかしゃかい
十字,じゅうじ
自在,じざい
情景,じょうけい
情熱,じょうねつ
ジャイアント,じゃいあんと
陣痛,じんつう
自律神経,じりつしんけい
磁力,じりょく
女子大学,じょしだいがく
陣営,じんえい
自筆,じひつ
受講,じゅこう
人口,じんこう
十二月,じゅうにがつ
自殺,じさつ
重視,じゅうし
実父,じっぷ
乗降,じょうこう
自販機,じはんき
人力車,じんりきしゃ
従属,じゅうぞく
自由自在,じゆうじざい
ジョイント,じょいんと
陣取る,じんどる
人生,じんせい
自己満足,じこまんぞく
蛇,じゃ
実績,じっせき
住居,じゅうきょ
人身事故,じんしんじこ
乗車,じょうしゃ
人口密度,じんこうみつど
受動的,じゅどうてき
準ずる,じゅんずる
辞職,じしょく
静脈,じょうみゃく
ジョーク,じょーく
状況,じょうきょう
上昇,じょうしょう
実態,じったい
ジャッジ,じゃっじ
自己紹介,じこしょうかい
準備,じゅんび
実名,じつめい
純粋,じゅんすい
ジャケット,じゃけっと
熟読,じゅくどく
熟成,じゅくせい
女子学生,じょしがくせい
自治,じち
辞書,じしょ
常識,じょうしき
重工業,じゅうこうぎょう
実在,じつざい
女性,じょせい
ジャンプ,じゃんぷ
自作,じさく
じっと,じっと
上手,じょうず
順序,じゅんじょ
述語,じゅつご
ジュニア,じゅにあ
自家用車,じかようしゃ
実技,じつぎ
浄水,じょうすい
受話器,じゅわき
女児,じょじ
人工的,じんこうてき
自国,じこく
上下,じょうげ
じめじめ,じめじめ
ジンクス,じんくす
時事,じじ
自立,じりつ
甚大,じんだい
縄文時代,じょうもんじだい
柔軟体操,じゅうなんたいそう
受注,じゅちゅう
情報検索,じょうほうけんさく
ジャーナリズム,じゃーなりずむ
事務所,じむしょ
ジャングル,じゃんぐる
助動詞,じょどうし
ジェット,じぇっと
