占い,うらない
打ち勝つ,うちかつ
受け持つ,うけもつ
ウエディングドレス,うえでぃんぐどれす
ウーロン茶,うーろんちゃ
宇宙服,うちゅうふく
う回,うかい
植木,うえき
ウエートレス,うえーとれす
内訳,うちわけ
うさぎ,うさぎ
売り,うり
埋め立て,うめたて
梅干し,うめぼし
潤い,うるおい
奪う,うばう
受け取る,うけとる
運送,うんそう
生まれ変わる,うまれかわる
ウール,うーる
受け取り,うけとり
ウェア,うぇあ
うんざり,うんざり
ウイング,ういんぐ
器,うつわ
裏切る,うらぎる
売り払う,うりはらう
裏返す,うらがえす
うわのそら,うわのそら
売り切れる,うりきれる
植え付ける,うえつける
訴え,うったえ
薄い,うすい
ウインカー,ういんかー
運動会,うんどうかい
薄切り,うすぎり
うるさい,うるさい
ウエーブ,うえーぶ
生まれ,うまれ
右翼団体,うよくだんたい
運輸,うんゆ
上役,うわやく
内気,うちき
売れ残る,うれのこる
売り出し,うりだし
受け入れる,うけいれる
ウォッカ,うぉっか
埋め込む,うめこむ
埋もれる,うもれる
打ち解ける,うちとける
占う,うらなう
浮き彫り,うきぼり
運動,うんどう
宇宙,うちゅう
薄焼き,うすやき
ウイークエンド,ういーくえんど
運命的,うんめいてき
打つ,うつ
売り手,うりて
うちわ,うちわ
内,うち
裏道,うらみち
受け止める,うけとめる
打ち切り,うちきり
受かる,うかる
打ち上げる,うちあげる
運動場,うんどうじょう
薄手,うすで
うずら,うずら
歌,うた
生まれる,うまれる
受け付け,うけつけ
内股,うちまた
恨み,うらみ
羽毛,うもう
受け渡し,うけわたし
歌姫,うたひめ
浮かべる,うかべる
ウインドー,ういんどー
薄口,うすくち
受け身,うけみ
上,うえ
上野,うえの
右翼,うよく
訴える,うったえる
打ち消す,うちけす
打ち破る,うちやぶる
生み出す,うみだす
うんち,うんち
失う,うしなう
請け負う,うけおう
産声,うぶごえ
薄着,うすぎ
後ろ足,うしろあし
打ち合わせ,うちあわせ
薄らぐ,うすらぐ
裏表,うらおもて
ウイスキー,ういすきー
浮かぶ,うかぶ
ウエート,うえーと
運転免許証,うんてんめんきょしょう
うずもれる,うずもれる
歌声,うたごえ
打ち明ける,うちあける
うそ,うそ
映し出す,うつしだす
麗しい,うるわしい
打ち切る,うちきる
移り変わる,うつりかわる
運命,うんめい
薄め,うすめ
ウェブ,うぇぶ
動かす,うごかす
受け入れ,うけいれ
浮かび上がる,うかびあがる
薄味,うすあじ
上履き,うわばき
腕前,うでまえ
梅,うめ
運輸省,うんゆしょう
雨期,うき
裏切り,うらぎり
後ろ盾,うしろだて
運転士,うんてんし
埋める,うめる
ウォーター,うぉーたー
運転手,うんてんしゅ
うらやましい,うらやましい
動き,うごき
埋まる,うまる
移る,うつる
売る,うる
ウエットスーツ,うえっとすーつ
馬,うま
裏通り,うらどおり
歌う,うたう
右往左往,うおうさおう
承る,うけたまわる
うろうろ,うろうろ
売り主,うりぬし
売り上げ,うりあげ
裏口,うらぐち
移す,うつす
伺う,うかがう
薄暗い,うすぐらい
うじゃうじゃ,うじゃうじゃ
浮き浮き,うきうき
渦,うず
運河,うんが
ウォーキング,うぉーきんぐ
上回る,うわまわる
甘み,うまみ
売り切れ,うりきれ
受ける,うける
腕時計,うでどけい
奪い取る,うばいとる
ウイルス,ういるす
裏地,うらじ
打ち立てる,うちたてる
動き回る,うごきまわる
ウインク,ういんく
うっとうしい,うっとうしい
受け口,うけぐち
うまい,うまい
裏側,うらがわ
うわさばなし,うわさばなし
美しい,うつくしい
ウォッチング,うぉっちんぐ
後ろめたい,うしろめたい
渦巻き,うずまき
後ろ姿,うしろすがた
裏付ける,うらづける
運休,うんきゅう
疎い,うとい
運勢,うんせい
海,うみ
ウエーター,うえーたー
うっかり,うっかり
運行,うんこう
腕,うで
打ち出す,うちだす
売り込む,うりこむ
内側,うちがわ
受け継ぐ,うけつぐ
ウインド,ういんど
受け付ける,うけつける
初々しい,ういういしい
牛,うし
ウエディング,うえでぃんぐ
後ろ向き,うしろむき
受け皿,うけざら
売りさばく,うりさばく
海辺,うみべ
うんこ,うんこ
売り場,うりば
植える,うえる
ういろう,ういろう
後ろ,うしろ
薄皮,うすかわ
売れ残り,うれのこり
売れっ子,うれっこ
上唇,うわくちびる
薄っぺら,うすっぺら
うずめる,うずめる
裏山,うらやま
動く,うごく
ウォッチ,うぉっち
潤う,うるおう
敬う,うやまう
疑う,うたがう
うつらうつら,うつらうつら
うなずく,うなずく
運動神経,うんどうしんけい
売れ行き,うれゆき
写し,うつし
うわさ,うわさ
乳母,うば
裏方,うらかた
疑わしい,うたがわしい
埋め立てる,うめたてる
腕立て伏せ,うでたてふせ
上向く,うわむく
右折,うせつ
上乗せ,うわのせ
熟れる,うれる
生む,うむ
運用,うんよう
薄める,うすめる
うっとり,うっとり
梅酒,うめしゅ
促す,うながす
浮く,うく
憂い,うれい
疑い,うたがい
恨む,うらむ
売り出す,うりだす
浮き上がる,うきあがる
うそつき,うそつき
魚釣り,うおつり
ウイニング,ういにんぐ
うなぎ,うなぎ
浮気,うわき
ウインドーショッピング,ういんどーしょっぴんぐ
受け,うけ
うれしい,うれしい
宇宙飛行士,うちゅうひこうし
売り込み,うりこみ
薄れる,うすれる
打ち込む,うちこむ
ウイークリー,ういーくりー
裏,うら
うさんくさい,うさんくさい
打ち消し,うちけし
上着,うわぎ
裏話,うらばなし
運営,うんえい
売り物,うりもの
移り変わり,うつりかわり
