くっ付く,くっつく
くしカツ,くしかつ
口癖,くちぐせ
管,くだ
食い違い,くいちがい
草,くさ
下る,くだる
草野球,くさやきゅう
クイック,くいっく
クリック,くりっく
下さる,くださる
屈辱,くつじょく
臭い,くさい
区域,くいき
食らう,くらう
苦笑,くしょう
クラス,くらす
薬,くすり
暮らし,くらし
黒い,くろい
屈伏,くっぷく
クローバー,くろーばー
口元,くちもと
苦しい,くるしい
鍬形,くわがた
クレジット,くれじっと
企て,くわだて
悔やむ,くやむ
口,くち
屈折,くっせつ
組み込む,くみこむ
クッキー,くっきー
クイズ,くいず
靴下,くつした
くらます,くらます
クロスワードパズル,くろすわーどぱずる
靴,くつ
クレージー,くれーじー
くつろぐ,くつろぐ
くしゃくしゃ,くしゃくしゃ
区分け,くわけ
国,くに
クライマックス,くらいまっくす
薬指,くすりゆび
空虚,くうきょ
空想,くうそう
クーリングオフ,くーりんぐおふ
空母,くうぼ
クリーニング,くりーにんぐ
黒ずむ,くろずむ
くり,くり
空席,くうせき
クリスマスプレゼント,くりすますぷれぜんと
区画,くかく
組,くみ
茎,くき
くたくた,くたくた
草花,くさばな
腐る,くさる
クリップ,くりっぷ
黒,くろ
鯨,くじら
クーデター,くーでたー
口説く,くどく
クリスマスケーキ,くりすますけーき
駆除,くじょ
訓読み,くんよみ
苦労,くろう
悔やみ,くやみ
熊手,くまで
クリスタル,くりすたる
食いつぶす,くいつぶす
唇,くちびる
空腹,くうふく
来る,くる
砕ける,くだける
車,くるま
食い止める,くいとめる
くぐる,くぐる
癖,くせ
下り,くだり
クリスマスカード,くりすますかーど
クリニック,くりにっく
くみ取る,くみとる
口振り,くちぶり
口紅,くちべに
果物,くだもの
くせ者,くせもの
口笛,くちぶえ
組み立て,くみたて
口出し,くちだし
供養,くよう
繰り出す,くりだす
口調,くちょう
くず,くず
クライアント,くらいあんと
クロスワード,くろすわーど
くすむ,くすむ
口止め,くちどめ
苦しめる,くるしめる
狂う,くるう
空気,くうき
崩れる,くずれる
暮らし向き,くらしむき
くじ,くじ
加える,くわえる
組合,くみあい
詳しい,くわしい
口約束,くちやくそく
クラスメート,くらすめーと
組み入れる,くみいれる
くくる,くくる
下り坂,くだりざか
繰り返し,くりかえし
組み合わせる,くみあわせる
区役所,くやくしょ
くしゃみ,くしゃみ
悔い,くい
暗やみ,くらやみ
くっきり,くっきり
首輪,くびわ
苦情,くじょう
口々,くちぐち
口ずさむ,くちずさむ
蔵,くら
くすぐる,くすぐる
覆す,くつがえす
勲章,くんしょう
くらげ,くらげ
くるぶし,くるぶし
クーラー,くーらー
区切る,くぎる
空中,くうちゅう
クリスマス,くりすます
クラッカー,くらっかー
臭み,くさみ
比べ物,くらべもの
食い込む,くいこむ
黒字,くろじ
苦しみ,くるしみ
空港,くうこう
空洞,くうどう
工夫,くふう
草木,くさき
崩れ,くずれ
くし,くし
クラリネット,くらりねっと
配る,くばる
暮れ,くれ
悔いる,くいる
苦痛,くつう
クロス,くろす
黒船,くろふね
クリスマスイブ,くりすますいぶ
比べる,くらべる
クール,くーる
クラシック音楽,くらしっくおんがく
玄人,くろうと
食い違う,くいちがう
区切り,くぎり
クリーナー,くりーなー
黒髪,くろかみ
食う,くう
苦しむ,くるしむ
繰り上げる,くりあげる
くっ付ける,くっつける
屈する,くっする
悔しい,くやしい
クレジットカード,くれじっとかーど
クリア,くりあ
下す,くだす
空調,くうちょう
九月,くがつ
紅,くれない
クッキング,くっきんぐ
黒豆,くろまめ
雲,くも
クレンザー,くれんざー
区別,くべつ
繰り返す,くりかえす
組み合わせ,くみあわせ
クレープ,くれーぷ
曇り,くもり
組み合う,くみあう
クレーター,くれーたー
組み立てる,くみたてる
口伝え,くちづたえ
苦悩,くのう
狂い,くるい
口コミ,くちこみ
暗がり,くらがり
口当たり,くちあたり
首,くび
組む,くむ
クルー,くるー
くどい,くどい
くよくよ,くよくよ
くそ,くそ
クラシック,くらしっく
砕く,くだく
曇る,くもる
クレーム,くれーむ
くぎ,くぎ
組曲,くみきょく
クリーム,くりーむ
熊,くま
黒帯,くろおび
暗い,くらい
崩す,くずす
口数,くちかず
繰り広げる,くりひろげる
クラブ,くらぶ
クリケット,くりけっと
クラブ活動,くらぶかつどう
くるむ,くるむ
食いしん坊,くいしんぼう
苦肉,くにく
加わる,くわわる
くれる,くれる
