夢,ゆめ
床下,ゆかした
有給休暇,ゆうきゅうきゅうか
揺れ,ゆれ
遊歩道,ゆうほどう
輸出,ゆしゅつ
浴衣,ゆかた
夕,ゆう
優越,ゆうえつ
行く手,ゆくて
ゆとり,ゆとり
融資,ゆうし
雪祭り,ゆきまつり
ゆがむ,ゆがむ
指輪,ゆびわ
夕暮れ,ゆうぐれ
緩い,ゆるい
ユダヤ,ゆだや
行き場,ゆきば
郵便受け,ゆうびんうけ
ゆず,ゆず
雪国,ゆきぐに
有意義,ゆういぎ
有数,ゆうすう
幽霊,ゆうれい
友情,ゆうじょう
湯通し,ゆどおし
ゆっくり,ゆっくり
床,ゆか
ゆがみ,ゆがみ
指,ゆび
雪,ゆき
優遇,ゆうぐう
有毒,ゆうどく
勇者,ゆうしゃ
有機物,ゆうきぶつ
雄大,ゆうだい
ゆすぐ,ゆすぐ
遺言書,ゆいごんしょ
ユダヤ教,ゆだやきょう
夢占い,ゆめうらない
有権者,ゆうけんしゃ
雪解け,ゆきどけ
夕闇,ゆうやみ
輸出入,ゆしゅつにゅう
融合,ゆうごう
緩める,ゆるめる
行方不明,ゆくえふめい
有能,ゆうのう
輸血,ゆけつ
雪女,ゆきおんな
指先,ゆびさき
ゆううつ,ゆううつ
優勝,ゆうしょう
揺さぶる,ゆさぶる
郵便番号,ゆうびんばんごう
遊戯,ゆうぎ
愉快,ゆかい
雪見,ゆきみ
ユニフォーム,ゆにふぉーむ
譲り渡す,ゆずりわたす
夕焼け,ゆうやけ
ユニーク,ゆにーく
誘惑,ゆうわく
行く末,ゆくすえ
ゆでる,ゆでる
指折り,ゆびおり
有給,ゆうきゅう
遊園地,ゆうえんち
ユニセックス,ゆにせっくす
湯気,ゆげ
ユーモア,ゆーもあ
融通,ゆうずう
湯飲み,ゆのみ
裕福,ゆうふく
夕立,ゆうだち
夕日,ゆうひ
許し,ゆるし
ゆうべ,ゆうべ
譲り,ゆずり
勇気,ゆうき
有色人種,ゆうしょくじんしゅ
遊泳,ゆうえい
許す,ゆるす
誘導,ゆうどう
有する,ゆうする
行方,ゆくえ
優待,ゆうたい
憂慮,ゆうりょ
有害,ゆうがい
揺れる,ゆれる
輸送,ゆそう
優秀,ゆうしゅう
ゆったり,ゆったり
ユーモラス,ゆーもらす
夢見る,ゆめみる
由来,ゆらい
行き過ぎる,ゆきすぎる
揺らす,ゆらす
故,ゆえ
有料道路,ゆうりょうどうろ
指差す,ゆびさす
有力者,ゆうりょくしゃ
ユーザー,ゆーざー
優劣,ゆうれつ
ユニホーム,ゆにほーむ
ゆだねる,ゆだねる
有望,ゆうぼう
優勢,ゆうせい
猶予,ゆうよ
弓,ゆみ
遊牧,ゆうぼく
豊か,ゆたか
唯一,ゆいいつ
有名,ゆうめい
結納,ゆいのう
雪下ろし,ゆきおろし
夕食,ゆうしょく
優位,ゆうい
有罪,ゆうざい
ゆかり,ゆかり
有効,ゆうこう
揺らぐ,ゆらぐ
譲る,ゆずる
誘拐,ゆうかい
郵政省,ゆうせいしょう
ゆり,ゆり
指折り数える,ゆびおりかぞえる
有利,ゆうり
油脂,ゆし
夕涼み,ゆうすずみ
ユースホステル,ゆーすほすてる
譲り受ける,ゆずりうける
郵便局,ゆうびんきょく
夕方,ゆうがた
緩やか,ゆるやか
揺する,ゆする
優先的,ゆうせんてき
優良,ゆうりょう
油性,ゆせい
弓なり,ゆみなり
輸入,ゆにゅう
緩む,ゆるむ
郵送,ゆうそう
優雅,ゆうが
有力,ゆうりょく
郵便物,ゆうびんぶつ
有益,ゆうえき
癒着,ゆちゃく
