紙袋,かみぶくろ
可燃性,かねんせい
カジュアル,かじゅある
漢方,かんぽう
果実,かじつ
重なる,かさなる
風通し,かぜとおし
感謝,かんしゃ
化合,かごう
拡大,かくだい
火災,かさい
乾電池,かんでんち
帰り,かえり
片端,かたはし
改定,かいてい
カスタード,かすたーど
回復,かいふく
書き改める,かきあらためる
家風,かふう
海水浴,かいすいよく
館内,かんない
空振り,からぶり
かかと,かかと
角,かど
火薬,かやく
語る,かたる
勧誘,かんゆう
偏る,かたよる
買い時,かいどき
影,かげ
かりんとう,かりんとう
カフェ,かふぇ
改札,かいさつ
辛口,からくち
開始,かいし
為替,かわせ
火曜日,かようび
顔負け,かおまけ
重ねる,かさねる
覚せい,かくせい
格安,かくやす
カンパ,かんぱ
核分裂,かくぶんれつ
髪型,かみがた
完璧,かんぺき
家庭的,かていてき
書き入れる,かきいれる
神風,かみかぜ
堅苦しい,かたくるしい
感動,かんどう
カルキ,かるき
買い付け,かいつけ
監査,かんさ
軽々しい,かるがるしい
核兵器,かくへいき
気触れる,かぶれる
かぶと,かぶと
固まり,かたまり
簡易裁判所,かんいさいばんしょ
かすみ,かすみ
カートリッジ,かーとりっじ
かちかち,かちかち
買い取る,かいとる
カール,かーる
完備,かんび
肩凝り,かたこり
画数,かくすう
間接税,かんせつぜい
仮名,かな
金もうけ,かねもうけ
関する,かんする
駆け付ける,かけつける
刈る,かる
書き物,かきもの
間接的,かんせつてき
会計,かいけい
かまいたち,かまいたち
かぎっ子,かぎっこ
加齢,かれい
改築,かいちく
合羽,かっぱ
買いだめ,かいだめ
寛大,かんだい
感知,かんち
画する,かくする
貨物,かもつ
皮切り,かわきり
かいわい,かいわい
開催,かいさい
管理職,かんりしょく
からかう,からかう
画一化,かくいつか
画一的,かくいつてき
書き出す,かきだす
家計,かけい
かかわる,かかわる
カーソル,かーそる
回収,かいしゅう
かさむ,かさむ
書き替える,かきかえる
上座,かみざ
海域,かいいき
歌謡曲,かようきょく
甘味,かんみ
活字,かつじ
上手,かみて
買い置き,かいおき
仮説,かせつ
掛ける,かける
買い換える,かいかえる
関東,かんとう
観測,かんそく
数々,かずかず
