サッシ,さっし
サイド,さいど
酸味,さんみ
左折,させつ
散歩,さんぽ
作法,さほう
さんま,さんま
細工,さいく
刺し身,さしみ
最多,さいた
叫び,さけび
サード,さーど
茶道,さどう
砂糖,さとう
差別,さべつ
差し歯,さしば
刺さる,ささる
探す,さがす
差額,さがく
サイト,さいと
サマー,さまー
魚,さかな
作家,さっか
ささい,ささい
サボる,さぼる
砂漠,さばく
さらす,さらす
サンバ,さんば
サラダ,さらだ
再起,さいき
騒ぐ,さわぐ
参加,さんか
昨夜,さくや
定か,さだか
叫ぶ,さけぶ
避ける,さける
サイズ,さいず
五月,さつき
最古,さいこ
三度,さんど
支え,ささえ
左翼,さよく
下げる,さげる
散布,さんぷ
悟る,さとる
山地,さんち
賛美,さんび
賛否,さんぴ
さらう,さらう
サリー,さりー
さえる,さえる
サーブ,さーぶ
探る,さぐる
探り,さぐり
諭す,さとす
作図,さくず
覚ます,さます
左右,さゆう
さびる,さびる
境,さかい
鎖国,さこく
査定,さてい
下がる,さがる
財布,さいふ
酒屋,さかや
サラミ,さらみ
殺意,さつい
触る,さわる
作詞,さくし
冷める,さめる
桜,さくら
流石,さすが
債務,さいむ
察知,さっち
寒い,さむい
悟り,さとり
サウナ,さうな
酸素,さんそ
作用,さよう
誘う,さそう
三時,さんじ
妻子,さいし
誘い,さそい
騒ぎ,さわぎ
最後,さいご
寒気,さむけ
逆さ,さかさ
産後,さんご
細部,さいぶ
下がり,さがり
