地球儀,ちきゅうぎ
ちびる,ちびる
地図帳,ちずちょう
チューナー,ちゅーなー
調味料,ちょうみりょう
チャック,ちゃっく
着地,ちゃくち
チーズ,ちーず
力,ちから
直流,ちょくりゅう
重宝,ちょうほう
忠実,ちゅうじつ
チーム,ちーむ
チェア,ちぇあ
中学,ちゅうがく
地裁,ちさい
近道,ちかみち
地区,ちく
チキンライス,ちきんらいす
チープ,ちーぷ
地方行政,ちほうぎょうせい
地方自治体,ちほうじちたい
チェック,ちぇっく
忠告,ちゅうこく
茶会,ちゃかい
中間報告,ちゅうかんほうこく
直視,ちょくし
弔意,ちょうい
懲役,ちょうえき
昼夜,ちゅうや
駐車,ちゅうしゃ
ちょこちょこ,ちょこちょこ
直接税,ちょくせつぜい
朝,ちょう
着陸,ちゃくりく
昼食,ちゅうしょく
着火,ちゃっか
地方裁判所,ちほうさいばんしょ
中継,ちゅうけい
地表,ちひょう
直角,ちょっかく
調理師,ちょうりし
地下,ちか
畜生,ちくしょう
ちょき,ちょき
駐在所,ちゅうざいしょ
地下道,ちかどう
地名,ちめい
調査,ちょうさ
聴講,ちょうこう
直結,ちょっけつ
チンパンジー,ちんぱんじー
地域,ちいき
ちぎれる,ちぎれる
超能力,ちょうのうりょく
チルド,ちるど
調味,ちょうみ
懲戒免職,ちょうかいめんしょく
茶柱,ちゃばしら
チンゲン菜,ちんげんさい
チェックポイント,ちぇっくぽいんと
父母,ちちはは
チャレンジ,ちゃれんじ
調教,ちょうきょう
着手,ちゃくしゅ
ちんぴら,ちんぴら
地下鉄,ちかてつ
注,ちゅう
ちらほら,ちらほら
縮まる,ちぢまる
チョコレート,ちょこれーと
地方公共団体,ちほうこうきょうだんたい
チャーター,ちゃーたー
父親,ちちおや
地下水,ちかすい
貯蔵,ちょぞう
散らかす,ちらかす
ちらちら,ちらちら
注釈,ちゅうしゃく
ちゃち,ちゃち
中間色,ちゅうかんしょく
超音波,ちょうおんぱ
近く,ちかく
朝食,ちょうしょく
縮める,ちぢめる
ちらつく,ちらつく
長者,ちょうじゃ
ちび,ちび
直射,ちょくしゃ
調整,ちょうせい
チャージ,ちゃーじ
散らし,ちらし
茶色,ちゃいろ
茶,ちゃ
ちっぽけ,ちっぽけ
長期,ちょうき
中火,ちゅうび
チームワーク,ちーむわーく
彫刻,ちょうこく
長調,ちょうちょう
中小企業,ちゅうしょうきぎょう
ちやほや,ちやほや
チャペル,ちゃぺる
チューニング,ちゅーにんぐ
中央銀行,ちゅうおうぎんこう
中枢,ちゅうすう
蓄積,ちくせき
直下,ちょっか
父の日,ちちのひ
チューブ,ちゅーぶ
直属,ちょくぞく
中止,ちゅうし
中華料理,ちゅうかりょうり
聴取,ちょうしゅ
直後,ちょくご
調子,ちょうし
中途半端,ちゅうとはんぱ
町名,ちょうめい
乳首,ちくび
窒息,ちっそく
陳列,ちんれつ
チェックアウト,ちぇっくあうと
頂上,ちょうじょう
鎮痛,ちんつう
ちょう結び,ちょうむすび
長女,ちょうじょ
ちょろちょろ,ちょろちょろ
中辛,ちゅうから
縮み,ちぢみ
茶色い,ちゃいろい
直立,ちょくりつ
駐在,ちゅうざい
懲罰,ちょうばつ
散る,ちる
着席,ちゃくせき
著作物,ちょさくぶつ
チェックリスト,ちぇっくりすと
沈着,ちんちゃく
注意,ちゅうい
注目,ちゅうもく
直球,ちょっきゅう
知的,ちてき
中東,ちゅうとう
ちまた,ちまた
地下街,ちかがい
宙返り,ちゅうがえり
直撃,ちょくげき
中級,ちゅうきゅう
調律,ちょうりつ
チェリー,ちぇりー
近い,ちかい
中学生,ちゅうがくせい
珍重,ちんちょう
中退,ちゅうたい
チームメート,ちーむめーと
地位,ちい
知名度,ちめいど
中途,ちゅうと
チャーシュー,ちゃーしゅー
直,ちょく
地域社会,ちいきしゃかい
チェス,ちぇす
超過,ちょうか
知能指数,ちのうしすう
窒素,ちっそ
長距離,ちょうきょり
着実,ちゃくじつ
チケット,ちけっと
ちゅう房,ちゅうぼう
珍味,ちんみ
徴収,ちょうしゅう
重複,ちょうふく
知恵,ちえ
調理,ちょうり
中性,ちゅうせい
著作,ちょさく
竹輪,ちくわ
チャレンジャー,ちゃれんじゃー
抽出,ちゅうしゅつ
チェロ,ちぇろ
中華,ちゅうか
ちょんまげ,ちょんまげ
地理,ちり
超高層,ちょうこうそう
抽象,ちゅうしょう
中学校,ちゅうがっこう
父,ちち
致命的,ちめいてき
秩序,ちつじょ
調合,ちょうごう
着色,ちゃくしょく
着用,ちゃくよう
父方,ちちかた
治療,ちりょう
地図,ちず
チャリティー,ちゃりてぃー
調達,ちょうたつ
ちぎる,ちぎる
著書,ちょしょ
致死,ちし
直通,ちょくつう
中古車,ちゅうこしゃ
着払い,ちゃくばらい
地方,ちほう
ちんこ,ちんこ
地中,ちちゅう
着工,ちゃっこう
調和,ちょうわ
地方自治,ちほうじち
近ごろ,ちかごろ
直接,ちょくせつ
中期,ちゅうき
著名,ちょめい
ちょろい,ちょろい
遅刻,ちこく
直径,ちょっけい
縮む,ちぢむ
長所,ちょうしょ
ちょうネクタイ,ちょうねくたい
誓う,ちかう
中流,ちゅうりゅう
長髪,ちょうはつ
抽象的,ちゅうしょうてき
チェンジ,ちぇんじ
町内,ちょうない
ちゃら,ちゃら
散らかる,ちらかる
チャンス,ちゃんす
