執務,しつむ
寝具,しんぐ
しぐさ,しぐさ
市内,しない
しぐれ,しぐれ
師走,しわす
下着,したぎ
初期,しょき
死去,しきょ
シーツ,しーつ
示す,しめす
慕う,したう
視察,しさつ
資材,しざい
しにせ,しにせ
進化,しんか
芝生,しばふ
白い,しろい
下地,したじ
守備,しゅび
漆器,しっき
姿勢,しせい
審議,しんぎ
質素,しっそ
記す,しるす
親身,しんみ
主婦,しゅふ
シード,しーど
紳士,しんし
仕舞う,しまう
初夏,しょか
指摘,してき
試合,しあい
死亡,しぼう
食,しょく
氏名,しめい
シルク,しるく
静か,しずか
私物,しぶつ
シール,しーる
神話,しんわ
閉める,しめる
初歩,しょほ
指令,しれい
週,しゅう
主語,しゅご
司祭,しさい
次第,しだい
手話,しゅわ
始発,しはつ
仕入れ,しいれ
市営,しえい
シフト,しふと
主義,しゅぎ
私有,しゆう
首位,しゅい
茂み,しげみ
思考,しこう
しっぽ,しっぽ
しつけ,しつけ
しゃれ,しゃれ
四国,しこく
首都,しゅと
始末,しまつ
四月,しがつ
審査,しんさ
資質,ししつ
処理,しょり
質疑,しつぎ
芝居,しばい
四方,しほう
し烈,しれつ
死別,しべつ
心理,しんり
渋る,しぶる
シビア,しびあ
仕業,しわざ
縛り,しばり
刺激,しげき
しごき,しごき
死に目,しにめ
思慮,しりょ
仕組み,しくみ
指数,しすう
白地,しろじ
私立,しりつ
仕掛け,しかけ
知らせ,しらせ
車庫,しゃこ
質屋,しちや
シネマ,しねま
仕上げ,しあげ
所持,しょじ
試作,しさく
四角,しかく
滴,しずく
市外,しがい
新婦,しんぷ
塩気,しおけ
染みる,しみる
仕切る,しきる
渋い,しぶい
支度,したく
痼,しこり
司会,しかい
敷居,しきい
趣旨,しゅし
シェア,しぇあ
絞る,しぼる
死刑,しけい
新規,しんき
茂る,しげる
沈む,しずむ
処置,しょち
しなう,しなう
縛る,しばる
支社,ししゃ
支配,しはい
しっと,しっと
死体,したい
しける,しける
神秘,しんぴ
私鉄,してつ
小,しょう
釈迦,しゃか
敷地,しきち
祝,しゅく
湿度,しつど
初夜,しょや
下見,したみ
色素,しきそ
仕打ち,しうち
しのぐ,しのぐ
強いる,しいる
思想,しそう
しかと,しかと
姉妹,しまい
紙幣,しへい
湿布,しっぷ
仕事,しごと
シャイ,しゃい
シェル,しぇる
シェフ,しぇふ
止血,しけつ
震度,しんど
信徒,しんと
しかる,しかる
シック,しっく
ショー,しょー
趣味,しゅみ
仕込む,しこむ
進歩,しんぽ
シャツ,しゃつ
私服,しふく
知れる,しれる
進路,しんろ
仕方,しかた
印,しるし
湿気,しっけ
白身,しろみ
絞り,しぼり
知らす,しらす
忍び,しのび
指定,してい
閉まる,しまる
史跡,しせき
死滅,しめつ
施設,しせつ
深夜,しんや
飼育,しいく
使用,しよう
調べ,しらべ
指導,しどう
仕切り,しきり
