略奪,りゃくだつ
リハビリ,りはびり
輪郭,りんかく
リーグ,りーぐ
理由,りゆう
利息,りそく
林業,りんぎょう
流儀,りゅうぎ
リゾート,りぞーと
リクルート,りくるーと
リューマチ,りゅーまち
リビングルーム,りびんぐるーむ
利用価値,りようかち
緑黄色,りょくおうしょく
粒子,りゅうし
両足,りょうあし
リピート,りぴーと
領域,りょういき
旅客,りょかく
利用,りよう
留学,りゅうがく
リタイア,りたいあ
臨海,りんかい
離陸,りりく
離島,りとう
料理屋,りょうりや
竜,りゅう
リストラ,りすとら
両家,りょうけ
リハーサル,りはーさる
旅費,りょひ
リフト,りふと
寮,りょう
理事,りじ
理論的,りろんてき
領収,りょうしゅう
りんご,りんご
流ちょう,りゅうちょう
略語,りゃくご
両隣り,りょうどなり
履歴,りれき
流動,りゅうどう
臨終,りんじゅう
リリース,りりーす
リフォーム,りふぉーむ
両腕,りょううで
利子,りし
料亭,りょうてい
良薬,りょうやく
リクエスト,りくえすと
リベート,りべーと
リミット,りみっと
立証,りっしょう
両者,りょうしゃ
略称,りゃくしょう
隣国,りんごく
力説,りきせつ
リキュール,りきゅーる
緑茶,りょくちゃ
倫理,りんり
良識,りょうしき
臨床,りんしょう
リンス,りんす
利害,りがい
力士,りきし
旅行者,りょこうしゃ
リコール,りこーる
流行,りゅうこう
リザーブ,りざーぶ
離着陸,りちゃくりく
リアル,りある
立体的,りったいてき
リラックス,りらっくす
両方,りょうほう
漁師,りょうし
良性,りょうせい
領収書,りょうしゅうしょ
リフレッシュ,りふれっしゅ
緑地,りょくち
立派,りっぱ
離脱,りだつ
履修,りしゅう
旅客機,りょかくき
留学生,りゅうがくせい
立候補,りっこうほ
リットル,りっとる
リリーフ,りりーふ
良心的,りょうしんてき
陸地,りくち
リーダーシップ,りーだーしっぷ
流行語,りゅうこうご
略歴,りゃくれき
理髪,りはつ
両立,りょうりつ
流出,りゅうしゅつ
両極,りょうきょく
リサーチ,りさーち
リビング,りびんぐ
陸上,りくじょう
倫理的,りんりてき
立体,りったい
両側,りょうがわ
理解,りかい
立法,りっぽう
リュック,りゅっく
リレー,りれー
陸,りく
了承,りょうしょう
領土,りょうど
緑化,りょっか
臨時,りんじ
リスク,りすく
良好,りょうこう
リアリティー,りありてぃー
リキッド,りきっど
利益,りえき
了解,りょうかい
林道,りんどう
略図,りゃくず
履歴書,りれきしょ
両替,りょうがえ
利率,りりつ
リサイクル,りさいくる
略,りゃく
理科,りか
リッチ,りっち
理想,りそう
理想的,りそうてき
流域,りゅういき
両手,りょうて
旅行,りょこう
流通,りゅうつう
理性,りせい
略す,りゃくす
立秋,りっしゅう
療養,りょうよう
律儀,りちぎ
流動性,りゅうどうせい
リバウンド,りばうんど
流氷,りゅうひょう
略式,りゃくしき
流派,りゅうは
両目,りょうめ
リズム,りずむ
リュックサック,りゅっくさっく
理屈,りくつ
利口,りこう
料理,りょうり
領主,りょうしゅ
良質,りょうしつ
力量,りきりょう
隣接,りんせつ
留意,りゅうい
